h8,kW_peak
88f043c267fffff,1631.2249999999995
88f040ca89fffff,120.0
88f040cacdfffff,189.36666666666665
88f043d1c3fffff,295.5
88f046a6a5fffff,262.8
88f043c22dfffff,847.3666666666667
88f043d317fffff,531.625
88f046a4a1fffff,487.20000000000005
88f040c8adfffff,209.53333333333336
88f040d89dfffff,387.98333333333335
88f040d84bfffff,1302.1333333333334
88f040d81bfffff,684.25
88f043d1a5fffff,58.29166666666667
88f0407935fffff,30.0
88f040db11fffff,651.6833333333334
88f040d863fffff,399.12500000000006
88f040c843fffff,30.0
88f040ca05fffff,578.1766666666666
88f040dad3fffff,120.0
88f040d81dfffff,52.5
88f040da09fffff,435.70833333333337
88f046aeddfffff,181.86666666666667
88f046a58dfffff,175.2
88f043d303fffff,403.375
88f040c8a9fffff,763.2666666666668
88f043c1c3fffff,180.0
88f042b6c3fffff,30.0
88f040ca15fffff,552.4833333333333
88f040dae9fffff,263.39166666666665
88f0405269fffff,1165.9083333333333
88f043d153fffff,89.43333333333334
88f043d10bfffff,23.5
88f043d347fffff,107.2
88f040ca2bfffff,744.9
88f040c80dfffff,1038.775
88f040c855fffff,1023.375
88f0405201fffff,60.0
88f043c18bfffff,60.0
88f040c30dfffff,30.0
88f043dadbfffff,73.26666666666667
88f046a4c5fffff,59.75833333333333
88f0407933fffff,16.84166666666667
88f040dae5fffff,73.41666666666667
88f040d149fffff,179.9
88f042b6c5fffff,30.0
88f040c135fffff,202.79999999999998
88f043d1c7fffff,425.09999999999997
88f040ca37fffff,149.0
88f040d895fffff,164.4
88f043d199fffff,30.0
88f0407b27fffff,120.0
88f040da03fffff,90.13333333333334
88f040c8e3fffff,240.0
88f040c8c7fffff,139.2
88f0404eb7fffff,30.0
88f043d18bfffff,370.98
88f042b6cbfffff,39.24166666666667
88f043d159fffff,475.25
88f043c221fffff,30.0
88f040d825fffff,1147.2
88f040ca5bfffff,60.0
88f042b683fffff,174.38333333333333
88f042b689fffff,827.1666666666666
88f043c04dfffff,314.5
88f040da11fffff,49.05833333333334
88f046a4a9fffff,93.0
88f040d9b1fffff,898.3333333333333
88f040c8e1fffff,177.5
88f046a4bbfffff,923.9166666666666
88f040694dfffff,175.15
88f040c825fffff,120.0
88f040cd29fffff,270.0
88f040ca13fffff,159.625
88f040ca63fffff,1035.0499999999997
88f0405261fffff,415.2833333333333
88f040c817fffff,922.725
88f042b4dbfffff,463.9916666666667
88f040d8b9fffff,864.2833333333333
88f040ca8bfffff,18.5
88f043d023fffff,214.3
88f040da05fffff,418.68333333333334
88f046a497fffff,106.8
88f040d885fffff,862.8583333333335
88f040da6dfffff,199.37500000000003
88f040c807fffff,139.2
88f040daa3fffff,116.0
88f040da4bfffff,161.36666666666667
88f043d343fffff,178.92
88f0405241fffff,274.9
88f040c885fffff,705.1166666666667
88f043d1a1fffff,30.0
88f046a4abfffff,120.68333333333334
88f0446927fffff,155.0
88f040d815fffff,224.85000000000002
88f042b4d9fffff,30.0
88f046a4b1fffff,332.8416666666667
88f043d307fffff,65.0
88f046a485fffff,755.19
88f040da67fffff,1586.5166666666664
88f040d8a3fffff,450.6116666666666
88f043d1c1fffff,880.0
88f042b697fffff,512.6833333333334
88f040c16dfffff,116.58333333333333
88f040c853fffff,337.75
88f040ca55fffff,751.8833333333333
88f040d855fffff,1007.45
88f040ca69fffff,523.7
88f040cd63fffff,30.0
88f040d805fffff,270.0
88f040c8d9fffff,90.0
88f043c06bfffff,644.8583333333333
88f043d329fffff,503.425
88f046a4ddfffff,485.625
88f040c839fffff,326.23333333333335
88f0405249fffff,557.0166666666667
88f043c263fffff,201.6
88f040c8a7fffff,1139.525
88f043ceedfffff,232.50000000000003
88f040caddfffff,46.55
88f046a59dfffff,225.0
88f040dae1fffff,155.5
88f040d88dfffff,585.1783333333333
88f040ca47fffff,807.0666666666666
88f043d029fffff,596.3916666666667
88f043c181fffff,25.683333333333334
88f0406b25fffff,71.30833333333334
88f040da17fffff,139.2
88f040500dfffff,120.0
88f040d897fffff,76.8
88f042b659fffff,82.5
88f046a50dfffff,30.0
88f040c811fffff,110.0
88f040d9b9fffff,271.5333333333333
88f043c26bfffff,134.4
88f040cb45fffff,46.18333333333334
88f0405209fffff,240.0
88f043c047fffff,50.0
88f043d18dfffff,393.6
88f040ca09fffff,1159.4916666666666
88f043c1cbfffff,587.6166666666667
88f04052e5fffff,73.56666666666666
88f040d8ddfffff,331.9333333333333
88f040d997fffff,524.6666666666667
88f040c8ebfffff,522.5916666666666
88f043d345fffff,461.1583333333333
88f046a5edfffff,120.0
88f040c16bfffff,30.0
88f043c08dfffff,142.5
88f04069e5fffff,349.2
88f0431965fffff,304.0
88f040c8d7fffff,101.0
88f042b681fffff,857.4250000000001
88f040d8b5fffff,5923.598333333332
88f040d83dfffff,855.36
88f040d9d7fffff,1355.3916666666669
88f046aed1fffff,60.0
88f043d309fffff,219.09333333333333
88f046a4ebfffff,156.94166666666666
88f046a4c1fffff,9.1
88f043d155fffff,494.96
88f040cad5fffff,260.6333333333333
88f0405053fffff,297.6
88f0404cc9fffff,120.0
88f040c163fffff,117.38333333333333
88f040c863fffff,355.2
88f040c365fffff,240.0
88f040daedfffff,1026.2166666666667
88f0404cc3fffff,30.0
88f040d8e3fffff,537.6
88f040d9d3fffff,832.1
