h7,kW_peak
87f042b6effffff,67.94166666666666
87f040d88ffffff,7372.328333333334
87f040dadffffff,120.0
87f044696ffffff,26.5
87f040d8effffff,4357.626666666666
87f043548ffffff,295.5
87f040caaffffff,625.625
87f043561ffffff,184.625
87f04069affffff,48.06666666666666
87f043d02ffffff,1986.791666666667
87f043da9ffffff,203.9666666666667
87f043d1effffff,3135.5499999999997
87f04069effffff,349.2
87f046a53ffffff,121.73333333333333
87f040cf6ffffff,40.325
87f040c8dffffff,543.165
87f040c33ffffff,152.8
87f043dadffffff,268.0
87f040d91ffffff,1147.2
87f046a4effffff,163.94166666666666
87f046a73ffffff,30.0
87f040d98ffffff,2611.7166666666662
87f040da2ffffff,5141.208333333333
87f040daeffffff,886.8083333333333
87f040c36ffffff,270.0
87f040ca4ffffff,7324.266666666666
87f043c18ffffff,258.0
87f046a6bffffff,1381.5500000000002
87f040523ffffff,121.50833333333333
87f0404ebffffff,30.0
87f040d89ffffff,1334.0233333333333
87f042b6cffffff,597.2833333333333
87f040c13ffffff,734.7416666666667
87f040ca8ffffff,504.875
87f040c89ffffff,400.19166666666666
87f040ca6ffffff,4499.916666666668
87f040c12ffffff,1715.5416666666665
87f040ca1ffffff,2188.4083333333333
87f040d8affffff,4443.686666666666
87f043c02ffffff,1164.2583333333334
87f046a4dffffff,1247.8916666666669
87f040d16ffffff,576.0
87f046a4affffff,576.68
87f040daaffffff,1823.1416666666664
87f04052effffff,98.5
87f040c9cffffff,146.31666666666666
87f043d1bffffff,2737.55
87f040c8bffffff,147.6
87f040520ffffff,329.70833333333337
87f043d34ffffff,861.5616666666667
87f043c50ffffff,45.0
87f040c80ffffff,2821.283333333333
87f040792ffffff,1809.6916666666666
87f042b49ffffff,145.2
87f040c85ffffff,2244.228333333334
87f043c19ffffff,112.5
87f040d9dffffff,4869.099999999999
87f040790ffffff,451.39166666666665
87f040cabffffff,448.5583333333334
87f043cc8ffffff,30.0
87f046a6cffffff,156.0
87f040500ffffff,120.0
87f040c1effffff,289.15
87f040da3ffffff,2379.325
87f040693ffffff,184.80833333333334
87f040c83ffffff,1552.5416666666667
87f040d12ffffff,630.05
87f046a59ffffff,1735.6333333333334
87f046a48ffffff,3199.276666666667
87f040da8ffffff,176.93333333333334
87f040ca5ffffff,2005.0333333333335
87f040d9affffff,648.7166666666667
87f040d80ffffff,3200.7666666666664
87f040d83ffffff,4706.576666666667
87f046a68ffffff,1728.6833333333334
87f042b65ffffff,126.9
87f040ca2ffffff,1484.2133333333334
87f043c56ffffff,127.5
87f040c86ffffff,355.2
87f040d8dffffff,3131.6583333333333
87f040c9dffffff,3066.7383333333337
87f043c00ffffff,1243.05
87f040da1ffffff,1595.341666666667
87f040c8affffff,2594.4416666666666
87f046a4bffffff,2715.8433333333337
87f043c35ffffff,1015.2083333333333
87f040d9cffffff,139.2
87f040cadffffff,316.35833333333335
87f046a41ffffff,127.5
87f046a4cffffff,702.2833333333334
87f046a42ffffff,26.5
87f040524ffffff,957.8750000000001
87f042b61ffffff,525.8916666666667
87f0406b2ffffff,752.6916666666666
87f040da6ffffff,3435.651666666666
87f046369ffffff,111.75
87f043196ffffff,304.0
87f040505ffffff,297.6
87f040d90ffffff,30.0
87f040cd6ffffff,90.0
87f043d18ffffff,650.6916666666666
87f040d99ffffff,2938.3333333333335
87f040c81ffffff,2366.6833333333334
87f040cb1ffffff,30.0
