h7,kW_peak
87f046aedffffff,375.41666666666663
87f046a51ffffff,133.25833333333333
87f0406b6ffffff,726.0916666666667
87f042b6dffffff,407.51666666666665
87f043d32ffffff,503.425
87f04052cffffff,120.0
87f043d30ffffff,1633.7216666666668
87f043d15ffffff,1034.2166666666667
87f040c8effffff,1855.6166666666668
87f040c84ffffff,2191.291666666667
87f046a6effffff,107.79166666666666
87f043d14ffffff,662.25
87f040d8bffffff,6862.594999999999
87f040cb0ffffff,343.3833333333334
87f046a5bffffff,292.5
87f043c0effffff,105.0
87f040ca3ffffff,5326.675000000002
87f042b68ffffff,2448.7166666666667
87f040cacffffff,1409.0666666666666
87f040c8cffffff,1042.2
87f043c08ffffff,142.5
87f046a50ffffff,30.0
87f040522ffffff,298.65
87f046a5effffff,515.8833333333332
87f042b4dffffff,499.33333333333337
87f040d8cffffff,1663.425
87f040db2ffffff,33.0
87f040ca0ffffff,5695.073333333333
87f043ceaffffff,10089.058333333332
87f042b6bffffff,705.7916666666667
87f0407b2ffffff,120.0
87f043c31ffffff,1282.75
87f040d81ffffff,1320.3266666666668
87f046a5cffffff,643.2666666666667
87f040d14ffffff,249.01666666666665
87f043c2affffff,172.5
87f042a6dffffff,113.25
87f040dacffffff,41.45
87f040da5ffffff,2839.078333333334
87f043d11ffffff,1390.2066666666665
87f043c06ffffff,646.5666666666666
87f040cb4ffffff,989.1999999999998
87f043d10ffffff,39.68333333333333
87f043d31ffffff,664.725
87f0404c8ffffff,172.81666666666666
87f040d9bffffff,7587.575000000002
87f040c30ffffff,30.0
87f043c22ffffff,1877.1750000000006
87f040c14ffffff,910.5500000000001
87f043c1cffffff,1496.7250000000001
87f043d1cffffff,2709.925
87f043c0bffffff,1200.0
87f043d36ffffff,274.41666666666663
87f043d06ffffff,731.6200000000001
87f040cd2ffffff,270.0
87f043c26ffffff,3169.5816666666665
87f043d33ffffff,1499.335
87f040d84ffffff,3818.791666666665
87f043d0bffffff,37.5
87f040d85ffffff,1869.0583333333332
87f040525ffffff,30.0
87f040793ffffff,688.6833333333333
87f043c34ffffff,180.0
87f046a6affffff,282.9166666666667
87f040cb5ffffff,4192.116666666667
87f040694ffffff,2710.75
87f040caeffffff,268.125
87f040504ffffff,102.91666666666667
87f0404ccffffff,147.0
87f043d35ffffff,163.92
87f040c82ffffff,1494.4433333333332
87f040c91ffffff,374.8333333333333
87f043d19ffffff,1746.115
87f042b69ffffff,1035.3999999999999
87f040db1ffffff,1000.8833333333334
87f040c88ffffff,1039.7166666666667
87f043c03ffffff,878.575
87f044692ffffff,207.6
87f040526ffffff,1443.5083333333332
87f043cceffffff,247.5
87f040da0ffffff,1831.0916666666665
87f046a58ffffff,351.7
87f04050cffffff,60.0
87f043d1dffffff,1476.27
87f040ca9ffffff,261.0083333333333
87f043c04ffffff,1672.2916666666665
87f040c16ffffff,464.4416666666666
87f040d86ffffff,399.12500000000006
87f043ce6ffffff,202.5
87f046a45ffffff,78.5
87f040690ffffff,581.0833333333333
87f04354effffff,270.0
87f043d13ffffff,43.50833333333333
87f040da4ffffff,722.0916666666667
87f040c99ffffff,1229.695
87f043d1affffff,730.2
87f046a49ffffff,2092.8583333333336
87f040dabffffff,557.4083333333333
87f043ceeffffff,232.50000000000003
