Location_ID,lon,lat,Vehicle_Type,Owner_Type,Body_Style,h6,h7,h8
Local_Freight_Other_Cargo Van_0000542,-77.453135,37.356422,Local Freight,Other,Cargo Van,86f040c17ffffff,87f040c12ffffff,88f040c129fffff
Local_Freight_Other_Cargo Van_0000543,-77.447019,37.35667,Local Freight,Other,Cargo Van,86f040c17ffffff,87f040c12ffffff,88f040c121fffff
Local_Freight_Other_Cargo Van_0000544,-77.446303,37.356713,Local Freight,Other,Cargo Van,86f040c17ffffff,87f040c12ffffff,88f040c121fffff
Local_Freight_Other_Cargo Van_0000545,-77.453871,37.356896,Local Freight,Other,Cargo Van,86f040c17ffffff,87f040c12ffffff,88f040c129fffff
Local_Freight_Other_Cargo Van_0000546,-76.763836,37.356946,Local Freight,Other,Cargo Van,86f042b6fffffff,87f042b68ffffff,88f042b68dfffff
Local_Freight_Other_Cargo Van_0000547,-77.446605,37.357196,Local Freight,Other,Cargo Van,86f040c17ffffff,87f040c12ffffff,88f040c121fffff
Local_Freight_Other_Cargo Van_0000548,-77.415716,37.357535,Local Freight,Other,Cargo Van,86f040cafffffff,87f040cacffffff,88f040cac3fffff
Local_Freight_Other_Cargo Van_0000549,-77.446497,37.357739,Local Freight,Other,Cargo Van,86f040c17ffffff,87f040c12ffffff,88f040c121fffff
Local_Freight_Other_Cargo Van_0000550,-77.395156,37.357948,Local Freight,Other,Cargo Van,86f040cafffffff,87f040ca8ffffff,88f040ca81fffff
Local_Freight_Other_Cargo Van_0000551,-77.409561,37.35808,Local Freight,Other,Cargo Van,86f040cafffffff,87f040cacffffff,88f040ca89fffff
Local_Freight_Other_Cargo Van_0000552,-77.529,37.358255,Local Freight,Other,Cargo Van,86f040dafffffff,87f040dabffffff,88f040dab3fffff
Local_Freight_Other_Cargo Van_0000553,-77.411058,37.358528,Local Freight,Other,Cargo Van,86f040cafffffff,87f040cacffffff,88f040cac7fffff
Local_Freight_Other_Cargo Van_0000554,-77.401925,37.359016,Local Freight,Other,Cargo Van,86f040cafffffff,87f040ca8ffffff,88f040ca81fffff
Local_Freight_Other_Cargo Van_0000555,-77.447801,37.359157,Local Freight,Other,Cargo Van,86f040c17ffffff,87f040c12ffffff,88f040c129fffff
Local_Freight_Other_Cargo Van_0000556,-76.766118,37.360398,Local Freight,Other,Cargo Van,86f042b6fffffff,87f042b68ffffff,88f042b68dfffff
Local_Freight_Other_Cargo Van_0000557,-77.681936,37.360552,Local Freight,Other,Cargo Van,86f046a4fffffff,87f046a4dffffff,88f046a4d9fffff
Local_Freight_Other_Cargo Van_0000558,-77.404671,37.360764,Local Freight,Other,Cargo Van,86f040cafffffff,87f040ca8ffffff,88f040ca89fffff
Local_Freight_Other_Cargo Van_0000559,-76.765926,37.360792,Local Freight,Other,Cargo Van,86f042b6fffffff,87f042b68ffffff,88f042b68dfffff
Local_Freight_Other_Cargo Van_0000560,-77.413385,37.361493,Local Freight,Other,Cargo Van,86f040cafffffff,87f040cacffffff,88f040cac7fffff
Local_Freight_Other_Cargo Van_0000561,-76.767378,37.361737,Local Freight,Other,Cargo Van,86f042b6fffffff,87f042b68ffffff,88f042b68dfffff
Local_Freight_Other_Cargo Van_0000562,-77.41843,37.361939,Local Freight,Other,Cargo Van,86f040cafffffff,87f040cacffffff,88f040cac1fffff
Local_Freight_Other_Cargo Van_0000563,-77.679192,37.361951,Local Freight,Other,Cargo Van,86f046a4fffffff,87f046a4dffffff,88f046a4d9fffff
Local_Freight_Other_Cargo Van_0000564,-77.495893,37.363512,Local Freight,Other,Cargo Van,86f040d8fffffff,87f040d89ffffff,88f040d899fffff
Local_Freight_Other_Cargo Van_0000565,-77.416805,37.364121,Local Freight,Other,Cargo Van,86f040cafffffff,87f040cacffffff,88f040cac1fffff
Local_Freight_Other_Cargo Van_0000566,-77.410845,37.364651,Local Freight,Other,Cargo Van,86f040cafffffff,87f040cacffffff,88f040cac7fffff
Local_Freight_Other_Cargo Van_0000567,-77.498144,37.365539,Local Freight,Other,Cargo Van,86f040d8fffffff,87f040d89ffffff,88f040d899fffff
Local_Freight_Other_Cargo Van_0000568,-77.417615,37.365987,Local Freight,Other,Cargo Van,86f040cafffffff,87f040cacffffff,88f040cac1fffff
Local_Freight_Other_Cargo Van_0000569,-77.49834,37.366216,Local Freight,Other,Cargo Van,86f040d8fffffff,87f040d89ffffff,88f040d899fffff
Local_Freight_Other_Cargo Van_0000570,-77.500785,37.366294,Local Freight,Other,Cargo Van,86f040d8fffffff,87f040d89ffffff,88f040d899fffff
Local_Freight_Other_Cargo Van_0000571,-77.400028,37.3663,Local Freight,Other,Cargo Van,86f040cafffffff,87f040ca8ffffff,88f040ca81fffff
Local_Freight_Other_Cargo Van_0000572,-77.49726,37.367472,Local Freight,Other,Cargo Van,86f040d8fffffff,87f040d89ffffff,88f040d899fffff
Local_Freight_Other_Cargo Van_0000573,-76.769844,37.367733,Local Freight,Other,Cargo Van,86f042b6fffffff,87f042b6cffffff,88f042b6ebfffff
Local_Freight_Other_Cargo Van_0000574,-77.49918,37.367816,Local Freight,Other,Cargo Van,86f040d8fffffff,87f040d89ffffff,88f040d899fffff
Local_Freight_Other_Cargo Van_0000575,-77.400836,37.368074,Local Freight,Other,Cargo Van,86f040cafffffff,87f040ca8ffffff,88f040ca81fffff
Local_Freight_Other_Cargo Van_0000576,-76.769973,37.368178,Local Freight,Other,Cargo Van,86f042b6fffffff,87f042b6cffffff,88f042b6ebfffff
Local_Freight_Other_Cargo Van_0000577,-76.771242,37.36899,Local Freight,Other,Cargo Van,86f042b6fffffff,87f042b6cffffff,88f042b6ebfffff
Local_Freight_Other_Cargo Van_0000578,-77.502543,37.369185,Local Freight,Other,Cargo Van,86f040d8fffffff,87f040d8dffffff,88f040d8d7fffff
Local_Freight_Other_Cargo Van_0000579,-77.418509,37.369895,Local Freight,Other,Cargo Van,86f040cafffffff,87f040cacffffff,88f040cac1fffff
Local_Freight_Other_Cargo Van_0000580,-77.417566,37.37042,Local Freight,Other,Cargo Van,86f040cafffffff,87f040cacffffff,88f040cac1fffff
Local_Freight_Other_Cargo Van_0000581,-77.498613,37.370556,Local Freight,Other,Cargo Van,86f040d8fffffff,87f040d89ffffff,88f040d899fffff
Local_Freight_Other_Cargo Van_0000582,-77.41767,37.371054,Local Freight,Other,Cargo Van,86f040cafffffff,87f040cacffffff,88f040cac1fffff
Local_Freight_Other_Cargo Van_0000583,-77.49915,37.371681,Local Freight,Other,Cargo Van,86f040d8fffffff,87f040d89ffffff,88f040d899fffff
Local_Freight_Other_Cargo Van_0000584,-77.505348,37.372769,Local Freight,Other,Cargo Van,86f040d8fffffff,87f040d8dffffff,88f040d8d7fffff
Local_Freight_Other_Cargo Van_0000585,-77.506842,37.373185,Local Freight,Other,Cargo Van,86f040d8fffffff,87f040d8dffffff,88f040d8d7fffff
Local_Freight_Other_Cargo Van_0000586,-77.506219,37.373391,Local Freight,Other,Cargo Van,86f040d8fffffff,87f040d8dffffff,88f040d8d7fffff
Local_Freight_Other_Cargo Van_0000587,-77.514308,37.373566,Local Freight,Other,Cargo Van,86f040d8fffffff,87f040d8dffffff,88f040d8d1fffff
Local_Freight_Other_Cargo Van_0000588,-77.506408,37.374291,Local Freight,Other,Cargo Van,86f040d8fffffff,87f040d8dffffff,88f040d8d7fffff
Local_Freight_Other_Cargo Van_0000589,-77.510321,37.374419,Local Freight,Other,Cargo Van,86f040d8fffffff,87f040d8dffffff,88f040d8d1fffff
Local_Freight_Other_Cargo Van_0000590,-77.501557,37.374711,Local Freight,Other,Cargo Van,86f040d8fffffff,87f040d8dffffff,88f040d8d7fffff
Local_Freight_Other_Cargo Van_0000591,-77.50687,37.374798,Local Freight,Other,Cargo Van,86f040d8fffffff,87f040d8dffffff,88f040d8d7fffff
Local_Freight_Other_Cargo Van_0000592,-77.509092,37.374844,Local Freight,Other,Cargo Van,86f040d8fffffff,87f040d8dffffff,88f040d8d1fffff
Local_Freight_Other_Cargo Van_0000593,-77.507692,37.37512,Local Freight,Other,Cargo Van,86f040d8fffffff,87f040d8dffffff,88f040d8d7fffff
