,hour,power,Day,School_name,Lat,Lon
77,6,70.24,Thu,A M DAVIS ELEM,37.4917123,-77.54567752
78,7,57.5,Thu,A M DAVIS ELEM,37.4917123,-77.54567752
79,8,26.5,Thu,A M DAVIS ELEM,37.4917123,-77.54567752
80,9,0,Thu,A M DAVIS ELEM,37.4917123,-77.54567752
81,10,0,Thu,A M DAVIS ELEM,37.4917123,-77.54567752
82,11,0,Thu,A M DAVIS ELEM,37.4917123,-77.54567752
83,12,0,Thu,A M DAVIS ELEM,37.4917123,-77.54567752
84,13,0,Thu,A M DAVIS ELEM,37.4917123,-77.54567752
85,14,0,Thu,A M DAVIS ELEM,37.4917123,-77.54567752
86,15,0,Thu,A M DAVIS ELEM,37.4917123,-77.54567752
87,16,0,Thu,A M DAVIS ELEM,37.4917123,-77.54567752
88,17,4.16,Thu,A M DAVIS ELEM,37.4917123,-77.54567752
89,18,119,Thu,A M DAVIS ELEM,37.4917123,-77.54567752
90,19,147.6,Thu,A M DAVIS ELEM,37.4917123,-77.54567752
91,20,147.6,Thu,A M DAVIS ELEM,37.4917123,-77.54567752
92,21,147.6,Thu,A M DAVIS ELEM,37.4917123,-77.54567752
93,22,147.6,Thu,A M DAVIS ELEM,37.4917123,-77.54567752
94,23,147.6,Thu,A M DAVIS ELEM,37.4917123,-77.54567752
95,24,147.6,Thu,A M DAVIS ELEM,37.4917123,-77.54567752
96,1,147.6,Fri,A M DAVIS ELEM,37.4917123,-77.54567752
97,2,147.6,Fri,A M DAVIS ELEM,37.4917123,-77.54567752
98,3,147.6,Fri,A M DAVIS ELEM,37.4917123,-77.54567752
99,4,111.14,Fri,A M DAVIS ELEM,37.4917123,-77.54567752
100,5,79.2,Fri,A M DAVIS ELEM,37.4917123,-77.54567752
101,6,70.24,Fri,A M DAVIS ELEM,37.4917123,-77.54567752
102,7,57.5,Fri,A M DAVIS ELEM,37.4917123,-77.54567752
103,8,26.5,Fri,A M DAVIS ELEM,37.4917123,-77.54567752
104,9,0,Fri,A M DAVIS ELEM,37.4917123,-77.54567752
105,10,0,Fri,A M DAVIS ELEM,37.4917123,-77.54567752
106,11,0,Fri,A M DAVIS ELEM,37.4917123,-77.54567752
107,12,0,Fri,A M DAVIS ELEM,37.4917123,-77.54567752
108,13,0,Fri,A M DAVIS ELEM,37.4917123,-77.54567752
109,14,0,Fri,A M DAVIS ELEM,37.4917123,-77.54567752
110,15,0,Fri,A M DAVIS ELEM,37.4917123,-77.54567752
111,16,0,Fri,A M DAVIS ELEM,37.4917123,-77.54567752
112,17,4.16,Fri,A M DAVIS ELEM,37.4917123,-77.54567752
113,18,119,Fri,A M DAVIS ELEM,37.4917123,-77.54567752
114,19,147.6,Fri,A M DAVIS ELEM,37.4917123,-77.54567752
115,20,147.6,Fri,A M DAVIS ELEM,37.4917123,-77.54567752
116,21,147.6,Fri,A M DAVIS ELEM,37.4917123,-77.54567752
117,22,147.6,Fri,A M DAVIS ELEM,37.4917123,-77.54567752
118,23,147.6,Fri,A M DAVIS ELEM,37.4917123,-77.54567752
119,24,147.6,Fri,A M DAVIS ELEM,37.4917123,-77.54567752
120,1,147.6,Sat,A M DAVIS ELEM,37.4917123,-77.54567752
121,2,147.6,Sat,A M DAVIS ELEM,37.4917123,-77.54567752
122,3,147.6,Sat,A M DAVIS ELEM,37.4917123,-77.54567752
123,4,111.14,Sat,A M DAVIS ELEM,37.4917123,-77.54567752
124,5,79.2,Sat,A M DAVIS ELEM,37.4917123,-77.54567752
125,6,70.24,Sat,A M DAVIS ELEM,37.4917123,-77.54567752
126,7,57.5,Sat,A M DAVIS ELEM,37.4917123,-77.54567752
127,8,26.5,Sat,A M DAVIS ELEM,37.4917123,-77.54567752
128,9,0,Sat,A M DAVIS ELEM,37.4917123,-77.54567752
129,10,0,Sat,A M DAVIS ELEM,37.4917123,-77.54567752
130,11,0,Sat,A M DAVIS ELEM,37.4917123,-77.54567752
131,12,0,Sat,A M DAVIS ELEM,37.4917123,-77.54567752
132,13,0,Sat,A M DAVIS ELEM,37.4917123,-77.54567752
133,14,0,Sat,A M DAVIS ELEM,37.4917123,-77.54567752
134,15,0,Sat,A M DAVIS ELEM,37.4917123,-77.54567752
135,16,0,Sat,A M DAVIS ELEM,37.4917123,-77.54567752
136,17,0,Sat,A M DAVIS ELEM,37.4917123,-77.54567752
137,18,0,Sat,A M DAVIS ELEM,37.4917123,-77.54567752
138,19,0,Sat,A M DAVIS ELEM,37.4917123,-77.54567752
139,20,0,Sat,A M DAVIS ELEM,37.4917123,-77.54567752
140,21,0,Sat,A M DAVIS ELEM,37.4917123,-77.54567752
141,22,0,Sat,A M DAVIS ELEM,37.4917123,-77.54567752
142,23,0,Sat,A M DAVIS ELEM,37.4917123,-77.54567752
143,24,0,Sat,A M DAVIS ELEM,37.4917123,-77.54567752
144,1,0,Sun,A M DAVIS ELEM,37.4917123,-77.54567752
145,2,0,Sun,A M DAVIS ELEM,37.4917123,-77.54567752
146,3,0,Sun,A M DAVIS ELEM,37.4917123,-77.54567752
147,4,0,Sun,A M DAVIS ELEM,37.4917123,-77.54567752
148,5,0,Sun,A M DAVIS ELEM,37.4917123,-77.54567752
149,6,0,Sun,A M DAVIS ELEM,37.4917123,-77.54567752
